sample,expID,CollectionID,SideID,site_name,type,lat,long,trench,province,rock_type,new_water_type,alt,temp,ph,spc,sal,do,orp,alk,fe2,si,dic,dic_d13,d18o,d2h,co2,s,he,h2,o2,ar,n2,ch4,co,ch4_d13,co2_d13,ng_phase,he4,r_ra,rc_ra,X,he4_ne20,co2_3he,co2_4he,na,nh4,k,mg,ca,cl,no2,br,no3,po4,so4,h2s,V,Mn,Fe,Co,Ni,Cu,Mo,W,Zn
CR18_YR_F,CR18,YR180404,YR,Yheri,F,9.19492,-83.28059,NA,Forearc,NA,Peripheral,469,26,8.9,4060,4.59,10,NA,NA,NA,NA,0.06,-21.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-19.34,NA,w,NA,NA,2.87,NA,NA,NA,NA,28.9,NA,0.28,0.28,7.51,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,
CR19_AC_F,CR19,ac190614,AC,acapulco,F,10.160508,-84.853472,NA,NA,NA,Volcanic,NA,72,7,5.1435,0,NA,NA,200,NA,NA,NA,-6.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,356.833,NA,10.467,0.881,97.097,300.166,NA,0.88,NA,NA,398.516,NA,,,,,,,,,
CR19_AC_S,CR19,ac190614,AC,acapulco,S,10.160508,-84.853472,NA,NA,NA,Volcanic,NA,72,7,5.1435,0,NA,NA,200,NA,NA,NA,-6.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,356.833,NA,10.467,0.881,97.097,300.166,NA,0.88,NA,NA,398.516,NA,,,,,,,,,
CR19_BQ_F,CR19,bq190717,BQ,borinquen,F,10.810506,-85.413628,NA,NA,NA,Volcanic,NA,96.1,3.38,5.1435,0,NA,NA,0,NA,NA,NA,-9.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.345,52.207,7.676,20.894,102.243,3.144,NA,NA,NA,NA,706.177,NA,,,,,,,,,
CR19_BR1_S,CR19,br1_190716,BR1,blue_river1,S,10.899661,-85.328442,NA,NA,NA,NA,NA,61.6,6.26,9.92688,3.5,NA,NA,700,NA,NA,NA,2.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,371.588,0.135,130.628,310.679,317.235,1223.578,NA,3.233,NA,NA,842.694,NA,,,,,,,,,
CR19_BR2_S,CR19,br2_190717,BR2,blue_river2,S,10.899477,-85.328492,NA,NA,NA,NA,NA,50.8,6.6,9.24354,3,NA,NA,500,NA,NA,NA,1.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,316.342,0.139,110.329,263.682,324.751,1013.441,NA,2.747,NA,NA,709.838,NA,,,,,,,,,
CR19_EP_F,CR19,ep190616,EP,espabel,F,9.902051,-85.454303,NA,NA,NA,Volcanic,NA,27,8.5,5.1435,0,NA,NA,200,NA,NA,NA,-20.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.141,NA,0.982,1.03,4.553,1.49,NA,NA,NA,NA,4.014,NA,,,,,,,,,
CR19_EP_S,CR19,ep190616,EP,espabel,S,9.902051,-85.454303,NA,NA,NA,Volcanic,NA,27,8.5,5.1435,0,NA,NA,200,NA,NA,NA,-20.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.141,NA,0.982,1.03,4.553,1.49,NA,NA,NA,NA,4.014,NA,,,,,,,,,
CR19_ET_S,CR19,et190718,ET,ecotermales,S,10.483902,-84.6749,NA,NA,NA,NA,NA,41.4,6.19,5.1435,0,NA,NA,300,NA,NA,NA,-5.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154.763,0.687,27.349,95.459,82.062,280.265,NA,NA,0.235,NA,252.817,NA,,,,,,,,,
CR19_GU_F,CR19,gu190718,GU,guarumo,F,10.756286,-85.316214,NA,NA,NA,Volcanic,NA,38.2,5.26,5.1435,0,NA,NA,200,NA,NA,NA,2.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.906,-0.041,7.202,14.563,38.055,1.998,NA,NA,NA,NA,81.045,NA,,,,,,,,,
